id,product,product_asin,review_title,rating,date,location,flavor,size,type
c53fb715f949c12d1818595fc914eb26,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Great product!,5.0,2023-08-12,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
7732d0d55d8140cb9f829f4d61fbe33b,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Works without added junk of other brands,5.0,2023-07-23,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
ff19992e6f7281f477fdd25518a2cde4,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,WORKS AMAZING!!,5.0,2023-07-20,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
af56b7d1beacbd291bda0def17048d25,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,These have become ridiculously expensive!,5.0,2023-07-12,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
beb2a354631b4c35bf5e387355ca885b,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,"Great product, love this company.",5.0,2023-07-04,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
9095dbd2620fc1b1fbf37d5799844864,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Excellent product,5.0,2023-06-22,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
7e0c70238026a984e43699416a663cb0,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Best on the market,5.0,2023-06-13,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
2d1e9aacfa8225ec7c4d907b98f2ed05,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Way better than tums,5.0,2023-06-01,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
bef8e5c7b454594ffe814853fb7ca6cc,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,The best!,5.0,2023-05-17,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
c670a2349439aac1a1818cad4cabecd0,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Good clean antacid,5.0,2023-05-09,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
5eb02f991e1dafa1250c313d20b668d6,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Best product.,5.0,2023-05-04,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
5e15156dc844a8f89e9785131ff91467,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Helpful for your TUMmy,5.0,2023-05-04,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
